hund|good|enkelt|klassiskt husdjur, barnvänligt
katt|good|enkelt|klassiskt husdjur, barnvänligt
häst|good|enkelt|vardagligt djur, lätt ledtrådat
fågel|good|enkelt|konkret vardagsord
fisk|good|enkelt|konkret vardagsord
orm|good|enkelt|välkänt djur
ko|good|enkelt|klassiskt bondgårdsdjur
får|good|enkelt|bondgårdsdjur, verbet stör inte
gris|good|enkelt|klassiskt bondgårdsdjur
räv|good|enkelt|välkänt sagodjur
ekorre|good|enkelt|välkänt vardagsdjur
björn|good|enkelt|djuret dominerar över namnet
älg|good|enkelt|välkänt svenskt djur
kanin|good|enkelt|klassiskt husdjur
hamster|good|enkelt|klassiskt husdjur
igelkott|good|enkelt|välkänt trädgårdsdjur
sköldpadda|good|enkelt|välkänt djur, lätt beskrivet
höna|good|enkelt|bondgårdsdjur
anka|good|enkelt|välkänt djur
gås|good|enkelt|välkänt djur
svan|good|enkelt|välkänt djur
pingvin|good|enkelt|barnfavorit, lätt ledtrådad
örn|good|enkelt|välkänd rovfågel
duva|good|enkelt|vardaglig stadsfågel
papegoja|good|enkelt|välkänt djur, pratar
lejon|good|enkelt|klassiskt zoodjur
tiger|good|enkelt|klassiskt zoodjur
zebra|good|enkelt|klassiskt zoodjur
giraff|good|enkelt|klassiskt zoodjur
elefant|good|enkelt|klassiskt zoodjur
noshörning|good|enkelt|välkänt zoodjur
flodhäst|good|enkelt|välkänt zoodjur
varg|good|enkelt|välkänt sagodjur
bäver|good|enkelt|välkänt djur, bygger dammar
mink|good|mellan|mindre bekant för barn
krokodil|good|enkelt|klassiskt barndjur
panter|good|enkelt|känd via Bagheera, Rosa Pantern
gepard|good|enkelt|snabbaste djuret, skolkunskap
vildsvin|good|enkelt|välkänt svenskt djur
apa|good|enkelt|klassiskt barndjur
lemur|good|mellan|känd via film, ej vardaglig
koala|good|enkelt|välkänt gulligt djur
känguru|good|enkelt|välkänt djur, hoppar
struts|good|enkelt|välkänd stor fågel
tukan|good|mellan|känd fågel men ovanligare namn
kakadua|good|mellan|papegoja gissas först
bröd|good|enkelt|vardagsmat
mjölk|good|enkelt|vardagsdryck
smör|good|enkelt|vardagsmat
ost|good|enkelt|vardagsmat
ägg|good|enkelt|vardagsmat
bacon|good|enkelt|etablerat vardagsord
korv|good|enkelt|vardagsmat
pizza|good|enkelt|vardagsmat
hamburgare|good|enkelt|vardagsmat
pommes|good|enkelt|vardagligt kortord
glass|good|enkelt|barnfavorit
choklad|good|enkelt|vardagsmat
frukt|good|enkelt|enkel kategori, lätt ledtrådad
äpple|good|enkelt|vardagsfrukt
päron|good|enkelt|vardagsfrukt
banan|good|enkelt|vardagsfrukt
apelsin|good|enkelt|vardagsfrukt
citron|good|enkelt|vardagsfrukt
jordgubbar|bad|cut|plural, grundformen jordgubbe rätt
blåbär|good|enkelt|samma form singular/plural
körsbär|good|enkelt|samma form singular/plural
morot|good|enkelt|vardagsgrönsak
gurka|good|enkelt|vardagsgrönsak
tomat|good|enkelt|vardagsgrönsak
potatis|good|enkelt|vardagsmat
ris|good|enkelt|vardagsmat
pasta|good|enkelt|vardagsmat
